timestamp,pattern,symbol,params_json,n,true_rate,mean_ret,median_ret,verdict,git_commit
2026-06-19T09:37:56+00:00,liquidity_sweep,ALL7,"{""sweep_lookback"": 30, ""eq_tol"": 0.005, ""sweep_depth"": 0.005, ""recover_bars"": 3, ""vol_lookback"": 20, ""vol_mult"": 2.0, ""label_window"": 20, ""rise_thr"": 0.15, ""fall_thr"": -0.1}",12,0.25,,,보류(표본부족),a02a3117a56e125adc46f433686a93d4401bf525
2026-06-19T09:55:05+00:00,liquidity_sweep,ALL7,"{""period"": ""full""}",12,0.25,,,보류(표본부족),2bfd41055ad3d9df4a271f37e232cfdbb4f27f52
2026-06-19T10:02:52+00:00,engulfing,ALL7,"{""period"": ""full""}",60,0.3333,,,기각,e8a3a38c496471ecd85998e7eb8d80ff300c1243
2026-06-19T10:12:25+00:00,liquidity_sweep,ALL7,"{""period"": ""full""}",12,0.5833,0.03313,0.09921,보류(표본부족),add6576baecb89d9d51e57b6f693bc8662ec3b4f
2026-06-19T10:12:26+00:00,rsi_divergence,ALL7,"{""period"": ""full""}",378,0.3677,-0.00752,-0.02297,기각,add6576baecb89d9d51e57b6f693bc8662ec3b4f
2026-06-22T07:01:30+00:00,engulfing,ALL7@1d,"{""tf"": ""1d"", ""period"": ""full""}",60,0.5667,0.03425,0.09988,통과,b563f70fdaf53f24ad2d091046a542bd0f6783e3
2026-06-22T07:01:30+00:00,engulfing,OOS@1d@IS,"{""tf"": ""1d"", ""from"": ""2021-01-01"", ""to"": ""2023-12-31""}",35,0.6,0.03532,0.10027,통과,b563f70fdaf53f24ad2d091046a542bd0f6783e3
2026-06-22T07:01:30+00:00,engulfing,OOS@1d@OOS,"{""tf"": ""1d"", ""from"": ""2024-01-01"", ""to"": ""2026-12-31""}",25,0.52,0.03275,0.09935,통과,b563f70fdaf53f24ad2d091046a542bd0f6783e3
2026-06-22T08:05:23+00:00,engulfing,ALL7@1d,"{""tf"": ""1d"", ""period"": ""full""}",60,0.5667,0.03425,0.09988,통과,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:23+00:00,engulfing,OOS@1d@IS,"{""tf"": ""1d"", ""from"": ""2021-01-01"", ""to"": ""2023-12-31""}",35,0.6,0.03532,0.10027,통과,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:23+00:00,engulfing,OOS@1d@OOS,"{""tf"": ""1d"", ""from"": ""2024-01-01"", ""to"": ""2026-12-31""}",25,0.52,0.03275,0.09935,통과,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:23+00:00,engulfing,BASE@1d,"{""tf"": ""1d"", ""null_mean"": 0.00364, ""p_mean"": 0.033}",60,0.0,0.03061,0.09915,유의,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:24+00:00,liquidity_sweep,ALL7@1d,"{""tf"": ""1d"", ""period"": ""full""}",12,0.5833,0.03313,0.09921,보류(표본부족),c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:24+00:00,liquidity_sweep,ALL7@4h,"{""tf"": ""4h"", ""period"": ""full""}",230,0.1739,0.00489,0.00167,통과,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:25+00:00,liquidity_sweep,OOS@4h@IS,"{""tf"": ""4h"", ""from"": ""2021-01-01"", ""to"": ""2023-12-31""}",107,0.1495,-0.00078,0.00061,기각,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:25+00:00,liquidity_sweep,OOS@4h@OOS,"{""tf"": ""4h"", ""from"": ""2024-01-01"", ""to"": ""2026-12-31""}",123,0.1951,0.00981,0.00444,통과,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:27+00:00,liquidity_sweep,BASE@4h,"{""tf"": ""4h"", ""null_mean"": 1e-05, ""p_mean"": 0.159}",230,0.0,0.00488,0.00372,베이스라인미초과,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:32+00:00,liquidity_sweep,ALL7@1h,"{""tf"": ""1h"", ""period"": ""full""}",1463,0.0185,-0.00183,0.00051,기각,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:33+00:00,rsi_divergence,ALL7@1d,"{""tf"": ""1d"", ""period"": ""full""}",378,0.3677,-0.00752,-0.02297,기각,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:34+00:00,rsi_divergence,ALL7@4h,"{""tf"": ""4h"", ""period"": ""full""}",2169,0.1319,-0.00161,-0.00189,기각,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T08:05:39+00:00,rsi_divergence,ALL7@1h,"{""tf"": ""1h"", ""period"": ""full""}",8502,0.0288,-0.00219,-0.0012,기각,c4fac74cbef40c6d6525ae0299063ce71995431a
2026-06-22T23:43:51+00:00,engulfing,PREC@slip,"{""slip"": 0.001, ""p_mean"": 0.033}",60,0.0,0.03325,0.09888,통과,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:43:51+00:00,engulfing,PREC@walkforward,"{""valid_windows"": 8, ""pos"": 5}",8,0.625,0.0,0.0,통과,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:43:51+00:00,engulfing,PREC@newsymbols,"{""symbols"": [""LINK"", ""DOT"", ""LTC"", ""ATOM"", ""UNI""], ""persym_pos"": 3}",30,0.0,0.0389,0.10019,통과,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:49+00:00,pin_bar,ALL7@1d,"{""tf"": ""1d"", ""period"": ""full""}",21,0.4286,-0.02314,-0.10217,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:49+00:00,pin_bar,ALL7@4h,"{""tf"": ""4h"", ""period"": ""full""}",213,0.1221,-0.00368,-0.00694,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:51+00:00,pin_bar,ALL7@1h,"{""tf"": ""1h"", ""period"": ""full""}",1106,0.0271,-0.00315,-0.00167,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:51+00:00,nr7,ALL7@1d,"{""tf"": ""1d"", ""period"": ""full""}",2219,0.3826,0.00034,-0.0069,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:51+00:00,nr7,ALL7@4h,"{""tf"": ""4h"", ""period"": ""full""}",13531,0.1364,-0.00136,-0.00341,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:53+00:00,nr7,ALL7@1h,"{""tf"": ""1h"", ""period"": ""full""}",57090,0.0307,-0.00157,-0.00245,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:53+00:00,double_bottom,ALL7@1d,"{""tf"": ""1d"", ""period"": ""full""}",465,0.4323,0.01038,0.01019,통과,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:53+00:00,double_bottom,OOS@1d@IS,"{""tf"": ""1d"", ""from"": ""2021-01-01"", ""to"": ""2023-12-31""}",254,0.4764,0.0187,0.04636,통과,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:53+00:00,double_bottom,OOS@1d@OOS,"{""tf"": ""1d"", ""from"": ""2024-01-01"", ""to"": ""2026-12-31""}",211,0.3791,0.00036,-0.00848,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:53+00:00,double_bottom,BASE@1d,"{""tf"": ""1d"", ""null_mean"": 0.00373, ""p_mean"": 0.144}",465,0.0,0.00664,0.013,베이스라인미초과,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:54+00:00,double_bottom,ALL7@4h,"{""tf"": ""4h"", ""period"": ""full""}",1562,0.2215,0.00582,-0.00348,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:55+00:00,double_bottom,ALL7@1h,"{""tf"": ""1h"", ""period"": ""full""}",1870,0.1283,0.00559,0.00156,통과,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:57+00:00,double_bottom,OOS@1h@IS,"{""tf"": ""1h"", ""from"": ""2021-01-01"", ""to"": ""2023-12-31""}",1382,0.1512,0.0075,0.0018,통과,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:44:58+00:00,double_bottom,OOS@1h@OOS,"{""tf"": ""1h"", ""from"": ""2024-01-01"", ""to"": ""2026-12-31""}",488,0.0635,0.00017,0.00025,기각,831f677b916d0d37ebf966448b552bb9f80bf612
2026-06-22T23:45:03+00:00,double_bottom,BASE@1h,"{""tf"": ""1h"", ""null_mean"": -0.00105, ""p_mean"": 0.0}",1870,0.0,0.00664,0.00365,유의,831f677b916d0d37ebf966448b552bb9f80bf612
